,Test predictions,Actual
410,357.3214,369.25833333333327
411,388.8552,335.28000000000003
412,346.82233,298.27833333333336
413,324.22687,325.96833333333336
414,350.6234,366.5416666666667
415,387.77472,220.76166666666668
416,272.16132,86.63833333333332
417,200.08969,41.396
418,150.52899,40.81666666666666
419,123.74047,45.501666666666665
420,117.20577,37.91666666666666
421,101.306984,41.0
422,104.15258,29.41
423,85.10889,41.066
424,92.316154,75.60000000000001
425,134.35858,107.60333333333332
426,156.56526,223.475
427,224.11728,336.45
428,331.02863,476.0033333333333
429,467.36676,508.4383333333333
430,488.16254,421.4283333333333
431,422.95038,408.97
432,425.3978,361.044
433,380.47845,349.21666666666664
434,376.75842,307.85
435,339.7831,341.645
436,369.97797,349.944
437,368.46875,307.4066666666667
438,329.08954,313.0316666666667
439,338.2907,182.66333333333333
440,250.004,62.74333333333334
441,182.25708,41.74333333333333
442,150.28163,49.69666666666666
443,130.12222,33.516
444,99.165764,27.01
445,85.61145,31.938333333333333
446,75.205734,26.665
447,55.927383,32.98333333333334
448,60.70527,185.365
449,195.82402,340.544
450,343.45682,390.5916666666667
451,386.00497,455.2216666666668
452,461.64575,441.62
453,437.24548,446.9466666666667
454,448.38654,472.98
455,471.90802,408.66333333333336
456,410.52774,359.39166666666665
457,371.6935,341.135
458,361.47723,337.745
459,359.00513,355.3816666666667
460,374.9724,294.888
461,318.28372,323.68666666666667
462,346.91046,320.78333333333336
463,336.8634,196.462
464,260.74884,77.35166666666666
465,183.44893,39.03
466,135.4832,23.116666666666664
467,101.02863,19.33
468,63.802048,16.08666666666667
469,23.378325,34.15833333333334
470,60.21776,18.216666666666665
471,53.153435,38.375
472,102.14352,202.75666666666663
473,242.89064,343.04833333333335
474,368.10516,384.605
475,391.16962,371.4740000000001
476,381.74506,380.43
477,394.77386,343.7266666666667
478,356.97223,304.9983333333333
479,332.03473,321.4183333333333
480,350.013,302.9666666666667
481,331.68546,283.04166666666674
482,316.29578,276.45
483,309.54907,262.1366666666667
484,296.1421,221.13
485,268.73456,195.60166666666663
486,254.65239,257.4533333333333
487,286.83157,130.56833333333336
488,207.3706,47.878
489,126.39008,28.559999999999995
490,98.25108,14.361666666666666
491,90.5017,21.666666666666668
492,55.575962,27.74166666666667
493,25.058022,21.453333333333333
494,43.39499,10.913333333333334
495,31.683117,27.375
496,47.245537,150.83333333333331
497,151.55348,303.916
498,303.67413,344.7766666666667
499,358.21146,349.095
500,369.32983,332.445
501,355.89154,310.7383333333334
502,339.435,272.13333333333327
503,309.78015,262.17600000000004
504,297.10403,280.1466666666667
505,307.14813,276.15333333333336
506,299.4871,247.89166666666665
507,271.2774,216.32333333333327
508,250.63481,197.134
509,240.78752,242.1
510,261.0011,263.015
511,273.7457,126.44166666666666
512,208.64766,59.44166666666666
513,170.49226,13.991666666666664
514,124.704926,15.410000000000002
515,96.26072,21.01833333333333
516,59.655293,19.232000000000003
517,35.12625,16.794
518,38.00615,11.153333333333334
519,33.734478,21.085
520,48.395046,113.73666666666668
521,136.2597,225.51
522,240.31937,328.185
523,341.2216,377.2733333333333
524,382.2835,357.97333333333336
525,355.85025,365.9866666666667
526,378.26263,346.19666666666666
527,365.35364,320.3533333333333
528,344.4781,314.0683333333333
529,342.86127,298.546
530,330.73376,229.27166666666665
531,282.0325,227.31333333333336
532,275.9131,255.144
533,288.04034,258.5033333333333
534,286.10828,249.31000000000003
535,277.11328,190.4833333333333
536,245.56639,53.918333333333344
537,175.83325,21.825
538,128.84973,17.536666666666665
539,96.092285,97.37
540,150.65036,71.31166666666668
541,137.0991,18.62
542,72.511475,16.523333333333333
543,42.796486,29.0
544,56.972534,126.53166666666664
545,160.64246,221.435
546,233.90956,241.79
547,268.77448,291.9866666666667
548,304.96075,303.76666666666665
549,309.06726,282.49499999999995
550,289.94513,255.3083333333333
551,269.72586,298.6166666666666
552,307.41547,333.9816666666667
553,338.03998,374.0633333333333
554,376.83755,375.5449999999999
555,381.0285,377.02333333333337
556,391.40518,390.342
557,405.03934,388.2466666666666
