time,T,Rn,H,P,CO2
2020-02-15 05:00:00,20.84090909090909,446.3818181818182,57.09090909090909,102.43672727272728,21.09090909090909
2020-02-15 06:00:00,20.85,410.2536363636364,56.54545454545455,102.45772727272728,20.0
2020-02-15 07:00:00,21.025,360.1608333333334,56.5,102.514,19.25
2020-02-15 08:00:00,20.965,345.3583333333333,55.91666666666666,102.55533333333334,17.916666666666668
2020-02-15 09:00:00,20.86909090909091,395.3236363636364,56.0,102.60290909090904,17.727272727272727
2020-02-15 10:00:00,20.74749999999999,404.31,55.75,102.63175,17.0
2020-02-15 11:00:00,20.835,428.6083333333333,55.833333333333336,102.63333333333334,16.416666666666668
2020-02-15 12:00:00,21.146,448.4320000000001,55.0,102.6018,15.2
2020-02-15 13:00:00,21.260833333333327,380.8516666666667,54.75,102.5525,13.916666666666666
2020-02-15 14:00:00,21.14833333333333,389.5125000000001,54.833333333333336,102.57083333333333,13.0
2020-02-15 15:00:00,21.24083333333333,403.4175,55.16666666666666,102.55291666666668,12.916666666666666
2020-02-15 16:00:00,21.134545454545453,416.9190909090908,55.72727272727273,102.54227272727272,12.727272727272728
2020-02-15 17:00:00,20.431818181818183,378.9436363636363,57.09090909090909,102.5819090909091,12.545454545454543
2020-02-15 18:00:00,20.72833333333333,388.7433333333333,55.833333333333336,102.57466666666666,12.333333333333334
2020-02-15 19:00:00,21.035454545454545,408.0709090909091,55.27272727272727,102.49636363636364,11.363636363636363
2020-02-15 20:00:00,20.9,414.2366666666666,55.083333333333336,102.582,11.0
2020-02-15 21:00:00,20.979166666666668,365.5558333333333,55.41666666666666,102.58258333333336,10.75
2020-02-15 22:00:00,21.065,354.36249999999995,55.75,102.57958333333332,10.0
2020-02-15 23:00:00,21.07,345.2081818181818,55.63636363636363,102.57772727272727,133.72727272727272
2020-02-16 00:00:00,20.98166666666667,327.9050000000001,55.41666666666666,102.56925,176.5
2020-02-16 01:00:00,21.019166666666667,320.1383333333333,55.66666666666666,102.56083333333332,175.25
2020-02-16 02:00:00,20.906,310.05499999999995,55.5,102.5321,173.4
2020-02-16 03:00:00,21.03833333333333,261.8,55.5,102.50425,169.91666666666666
2020-02-16 04:00:00,20.82083333333333,252.25666666666663,55.333333333333336,102.45341666666668,168.58333333333334
2020-02-16 05:00:00,20.98,224.2163636363636,55.36363636363637,102.42572727272729,164.0
2020-02-16 06:00:00,21.040000000000003,244.2583333333333,55.333333333333336,102.42983333333332,160.33333333333334
2020-02-16 07:00:00,20.9375,211.4225,55.583333333333336,102.44358333333332,158.0
2020-02-16 08:00:00,20.971666666666668,210.0633333333334,55.75,102.492,155.83333333333334
2020-02-16 09:00:00,20.725454545454543,179.00636363636363,56.0,102.54918181818184,154.27272727272728
2020-02-16 10:00:00,20.38833333333333,190.0825,57.0,102.59875,152.91666666666666
2020-02-16 11:00:00,20.41333333333333,209.5966666666667,57.41666666666666,102.62075,152.83333333333334
2020-02-16 12:00:00,20.816363636363636,171.10636363636362,56.54545454545455,102.59190909090913,151.54545454545453
2020-02-16 13:00:00,20.605,169.0258333333333,57.25,102.51741666666668,150.75
2020-02-16 14:00:00,20.45333333333333,150.86499999999998,58.0,102.46183333333332,150.41666666666666
2020-02-16 15:00:00,20.55818181818181,148.56727272727275,57.18181818181818,102.44145454545452,148.36363636363637
2020-02-16 16:00:00,20.40333333333333,133.825,57.583333333333336,102.42983333333336,147.58333333333334
2020-02-16 17:00:00,20.36916666666666,134.1,58.083333333333336,102.43516666666666,146.91666666666666
2020-02-16 18:00:00,20.53454545454545,134.06999999999996,57.09090909090909,102.47172727272728,145.72727272727272
2020-02-16 19:00:00,20.48818181818181,153.75181818181818,57.0,102.50918181818184,144.72727272727272
2020-02-16 20:00:00,20.565,143.95666666666668,57.083333333333336,102.51716666666664,144.41666666666666
2020-02-16 21:00:00,20.426666666666662,163.78166666666664,57.5,102.529,144.58333333333334
2020-02-16 22:00:00,20.31363636363636,161.6181818181818,57.72727272727273,102.52290909090908,145.8181818181818
2020-02-16 23:00:00,20.31181818181818,137.29909090909092,58.0,102.51490909090909,147.63636363636363
2020-02-17 00:00:00,20.310833333333328,171.42999999999998,58.083333333333336,102.51791666666668,148.91666666666666
2020-02-17 01:00:00,20.2275,208.05666666666664,57.91666666666666,102.53041666666668,150.08333333333334
2020-02-17 02:00:00,20.569090909090907,198.0818181818181,57.72727272727273,102.5788181818182,149.1818181818182
2020-02-17 03:00:00,20.316666666666663,241.35916666666665,57.66666666666666,102.63,148.33333333333334
2020-02-17 04:00:00,20.32666666666666,261.02500000000003,57.583333333333336,102.69108333333334,148.16666666666666
2020-02-17 05:00:00,20.378,278.751,57.1,102.7365,149.3
2020-02-17 06:00:00,20.6075,366.63916666666665,56.583333333333336,102.80808333333331,150.83333333333334
2020-02-17 07:00:00,20.7775,386.6433333333334,56.833333333333336,102.90158333333336,148.91666666666666
2020-02-17 08:00:00,21.1,402.92272727272734,57.09090909090909,103.3,148.72727272727272
2020-02-17 09:00:00,21.136363636363637,363.9790909090909,56.27272727272727,103.21045454545452,148.63636363636363
2020-02-17 10:00:00,21.24285714285714,370.6242857142857,55.71428571428572,103.22214285714288,146.57142857142858
2020-02-17 11:00:00,20.75333333333333,388.0811111111111,53.333333333333336,103.31344444444444,45.66666666666666
2020-02-17 12:00:00,20.7575,160.945,48.75,103.32175,68.25
2020-02-17 13:00:00,21.2675,58.82166666666666,48.083333333333336,103.30033333333334,79.41666666666667
2020-02-17 14:00:00,20.695,32.6975,55.5,103.26833333333332,49.25
2020-02-17 15:00:00,20.53583333333333,16.249166666666664,53.91666666666666,103.296,34.75
2020-02-17 16:00:00,21.46333333333333,214.63666666666663,51.66666666666666,103.32722222222222,30.666666666666668
2020-02-17 17:00:00,21.456,272.756,51.6,103.3691,25.7
2020-02-17 18:00:00,21.33090909090909,248.1981818181818,51.72727272727273,103.4569090909091,21.272727272727277
2020-02-17 19:00:00,21.36363636363636,242.3454545454545,51.45454545454545,103.50054545454546,18.363636363636363
2020-02-17 20:00:00,21.436666666666664,200.72,50.66666666666666,103.51274999999998,14.833333333333334
2020-02-17 21:00:00,21.334999999999997,186.38250000000005,49.91666666666666,103.54266666666666,11.75
2020-02-17 22:00:00,21.459166666666665,179.4141666666667,49.91666666666666,103.54375,24.58333333333333
2020-02-17 23:00:00,21.456363636363637,155.9027272727273,49.36363636363637,103.54663636363637,178.1818181818182
2020-02-18 00:00:00,21.285833333333333,168.93166666666667,49.5,103.56591666666668,175.25
2020-02-18 01:00:00,21.116666666666664,154.31666666666666,49.5,103.56791666666668,175.41666666666666
2020-02-18 02:00:00,20.908,148.40400000000002,49.3,103.5465,175.6
2020-02-18 03:00:00,20.59083333333333,120.93416666666668,49.333333333333336,103.51616666666666,175.25
2020-02-18 04:00:00,20.68166666666666,109.98000000000002,47.5,103.47958333333332,171.08333333333334
2020-02-18 05:00:00,20.686363636363637,100.83909090909091,47.45454545454545,103.48936363636363,168.9090909090909
2020-02-18 06:00:00,20.819166666666664,96.79416666666668,47.41666666666666,103.514,164.66666666666666
2020-02-18 07:00:00,21.11583333333333,135.46166666666667,48.0,103.56133333333334,160.91666666666666
2020-02-18 08:00:00,21.26583333333333,170.7175,48.16666666666666,103.60383333333334,159.41666666666666
2020-02-18 09:00:00,21.198,204.97,48.1,103.6449,159.7
2020-02-18 10:00:00,21.1,196.65,48.16666666666666,103.68833333333332,160.16666666666666
